Class,Pos,BoatName,Owner,Total
1720,1,ALLTALK,,32.0
1720,2,CRESCENDO,,22.0
1720,3,GO FERRET,,32.0
1720,4,PREMIER CRU,,34.0
1720,5,WHITE LIGHT,,46.0
1720,6,BOONDOGGLE,,51.0
1720,7,ROGAN JOSH,,62.0
1720,8,INFLEXION 1,,65.0
1720,9,INFLEXION 2,,67.0
1720,10,ANGEL,,72.0
Beneteau 40.7,1,AMEY LOVE SHACK,,12.0
Beneteau 40.7,2,HEALTHSURE,,61.0
Beneteau 40.7,3,BEECHWOOD HOMES,,64.0
Beneteau 40.7,4,INCOGNITO,,76.5
Beneteau 40.7,5,HW CORPORATE FINANCE,,95.0
Beneteau 40.7,6,TRADITION PHILO IV,,123.0
Beneteau 40.7,7,SKANDIA INTERNATN'L,,66.0
Beneteau 40.7,8,RAFIKI TEAM HOTWATCH,,73.0
Beneteau 40.7,9,PWC STRATEGY,,100.0
Beneteau 40.7,10,SKANDIA,,134.5
Beneteau 40.7,11,EUPHORIX,,144.0
Beneteau 40.7,12,FANDANGO,,102.0
Beneteau 40.7,13,HOT STUFF,,154.0
Beneteau 40.7,14,RANGATIRA,,139.0
Beneteau 40.7,15,DONATELLO,,143.0
Beneteau 40.7,16,LINKLATERS 1,,174.0
Beneteau 40.7,17,GFK ENCODEX,,177.0
Beneteau 40.7,18,PWC CORPORATE,,183.0
Beneteau 40.7,19,LINKLATERS 2,,185.0
Beneteau 40.7,20,SPACE RACE,,190.0
Beneteau 40.7,21,BAIGRIE DAVIES,,183.0
Beneteau 40.7,22,ORTAC,,215.0
Beneteau 40.7,23,NO DRAMA,,237.0
Beneteau 40.7,24,BUCCANEER,,241.0
Beneteau 40.7,25,PURCELL MILLER,,230.0
Beneteau 40.7,26,JEBA,,243.0
Beneteau 40.7,27,BELOW ZERO,,235.0
Beneteau 40.7,28,MYSTERY,,249.0
Beneteau 40.7,29,LADY V,,249.0
Beneteau 40.7,30,PROFILE,,253.0
Beneteau 40.7,31,CHIMAERA,,257.0
Beneteau 40.7,32,KEEL OVER,,261.0
Beneteau 40.7,33,COYOTE,,267.0
Beneteau 40.7,34,GARTMORE,,269.0
Beneteau 40.7,35,BALLISTIC,,270.0
Beneteau 40.7,36,GENIE,,279.0
Beneteau 40.7,37,JOOPSTER,,282.0
Beneteau 40.7,38,TRESCA,,303.0
Beneteau 40.7,39,ENCORE,,304.0
Beneteau 40.7,40,FIRST CRUSADER,,306.0
Beneteau 40.7,41,LANCELOT,,322.0
Beneteau 40.7,42,BIG BAMBOO,,344.0
Contessa 32,1,DRUMBEAT,,48.0
Contessa 32,2,BLUE SHARK,,49.0
Contessa 32,3,ANDAXI,,53.0
Contessa 32,4,EQUATOR,,60.2
Contessa 32,5,GIGI,,61.0
Contessa 32,6,WILD THYME,,56.0
Contessa 32,7,MUSCADET DE HAVELET,,59.0
Contessa 32,8,BLANCO,,75.0
Contessa 32,9,CONCERTO,,69.0
Contessa 32,10,LA CONTESSA ROSE,,65.0
Contessa 32,11,GUALIN,,87.0
Contessa 32,12,CORAFIN,,88.5
Contessa 32,13,CAROLINA,,92.5
Contessa 32,14,CONNIE,,93.0
Contessa 32,15,NIMBUS,,104.0
Contessa 32,16,JEMMA OF BOSHAM,,109.0
Daring,1,DAUNTLESS,,19.0
Daring,2,DEFENDER,,45.0
Daring,3,DIVISION BELLE,,67.0
Daring,4,DARIUS,,88.0
Daring,5,AUDAX,,72.0
Daring,6,DECOY,,99.0
Daring,7,DOUBLE KNOT,,76.0
Daring,8,DOLPHIN,,74.0
Daring,9,DEFIANT,,86.0
Daring,10,DREAMER,,96.0
Daring,11,DYNAMITE,,99.0
Daring,12,DASHING,,97.0
Daring,13,FINESSE,,119.0
Daring,14,DECANTER,,120.0
Daring,15,DIONYSUS,,117.0
Daring,16,DERRING DO,,114.0
Daring,17,MEDINA II,,117.0
Daring,18,DESTROYER,,138.0
Daring,19,DARING I,,123.0
Daring,20,DIAMOND,,133.0
Daring,21,DARLING,,152.0
Daring,22,DAMSEL,,153.0
Daring,23,DEINOS,,159.0
Daring,24,DIDO,,178.0
Daring,25,DANCER,,188.0
Daring,26,DING DONG,,201.0
Daring,27,STREAK,,204.0
Daring,28,DEVIUS,,216.0
Dragon,1,AIMEE,,29.0
Dragon,2,RUMOURS,,25.0
Dragon,3,C'S TOY,,43.0
Dragon,4,ECSTATIC,,42.0
Dragon,5,TROIKA,,51.8
Dragon,6,NJORD,,60.0
Dragon,7,JERBOA,,62.0
Dragon,8,GANADOR,,59.0
Dragon,9,NORBERT,,58.0
Dragon,10,ASA,,87.0
Dragon,11,REPRISE,,95.0
Dragon,12,VALANGA,,89.0
Dragon,13,CAVALIER,,97.0
Dragon,14,SEAFIRE,,98.0
Dragon,15,KEDRON 3,,112.0
Dragon,16,FANFARE,,115.0
Dragon,17,AURORA,,142.0
Elan 333,1,ELUSIVE,,9.0
Elan 333,2,WILD BLUE,,31.0
Elan 333,3,FANDANGO,,23.0
Elan 333,4,SKYWAVE,,43.0
Elan 333,5,BUCCANEER OF UPNOR,,45.0
Elan 333,6,WAIMANU,,51.0
Elan 333,7,ST GEORGE,,56.0
Etchells,1,ARBITRATOR,,37.0
Etchells,2,MOONLIGHT,,24.0
Etchells,3,CHINA WHITE,,50.0
Etchells,4,DESPERATE,,37.0
Etchells,5,ESPRIT,,54.0
Etchells,6,PALE TIDE,,65.0
Etchells,7,MAYHEM,,65.0
Etchells,8,BEST MATE,,54.0
Etchells,9,BLUE GENES,,73.0
Etchells,10,PALAVER,,96.0
Etchells,11,SHAMAL,,105.0
Etchells,12,MOTOMAR,,114.0
Etchells,13,SILEVE ELVA,,114.0
Etchells,14,LET RIP,,116.0
Etchells,15,PENSIVE TEMPTRESS,,125.0
Etchells,16,FREELANCE,,131.0
Etchells,17,FESTINA 2,,136.0
Etchells,18,BODACIOUS BARNICLE,,138.0
Etchells,19,NAUGHTY BY NATURE,,144.0
Extreme 40,1,EMT,,8.0
Extreme 40,2,BT,,12.0
Extreme 40,3,HOLMATRO,,15.0
Extreme 40,4,VOLVO OCEAN RACE,,16.0
Extreme 40,5,OMAN SAIL,,24.0
Hunter 707,1,BETTY,,23.0
Hunter 707,2,THE ANT HILL MOB,,33.0
Hunter 707,3,SPARKLE,,44.0
Hunter 707,4,TEQUILA,,44.0
Hunter 707,5,NOTNOWKATO,,54.0
Hunter 707,6,MISS MONEYPENNY,,71.0
Hunter 707,7,DOUBLE TROUBLE,,81.0
Hunter 707,8,THIS IS JEFF,,82.0
Hunter 707,9,ARTIFICER,,83.0
Hunter 707,10,LUTINE BELLE,,88.0
Hunter 707,11,MAD DOG,,98.0
Hunter 707,12,TOUCHDOWN,,101.0
Hunter 707,13,SURFEIT,,102.0
Hunter 707,14,FLYING LOW,,105.0
Folkboat,1,MADELAINE,,13.0
Folkboat,2,PALOMA,,15.0
Folkboat,3,MERGANSER,,30.0
Folkboat,4,ROSAIRE,,35.0
Folkboat,5,CYRA,,40.0
Flying 15,1,MEN BEHAVING BADLY,,8.0
Flying 15,2,BLACK,,30.0
Flying 15,3,FIREBOLT,,35.7
Flying 15,4,FFLUX,,45.0
Flying 15,5,FFURAHA,,39.0
Flying 15,6,SEA JAY,,59.0
Flying 15,7,FFLOOZIE,,67.0
Flying 15,8,FIFTY FIFTY,,63.0
Flying 15,9,DUSTY FFOUR,,71.0
Flying 15,10,FFREEFIRE 20,,66.0
Flying 15,11,AFFORE THE WEAK,,71.0
Flying 15,12,DOUBLE TROUBLE,,84.0
J-Sprit,1,JOE 90,,25.0
J-Sprit,2,J'RONIMO,,38.0
J-Sprit,3,JEOPARDY,,51.0
J-Sprit,4,NEILSON REDEYE,,48.0
J-Sprit,5,JOLENE,,58.0
J-Sprit,6,SHADES OF BLUE,,50.5
J-Sprit,7,JUST IN TIME,,58.5
J-Sprit,8,WHO'S TO NO,,63.0
J-Sprit,9,FAY-J,,64.0
J-Sprit,10,MOJO,,64.0
J-Sprit,11,TRION,,74.0
J-Sprit,12,JAYA,,93.0
J-Sprit,13,BOJANGLES,,93.0
J/109,1,ZELDA,,15.0
J/109,2,SHIVA,,20.0
J/109,3,JOHNNY BLUE II,,38.5
J/109,4,JAHMALI,,52.0
J/109,5,JUKE BOX,,48.0
J/109,6,OFFBEAT,,56.5
J/109,7,BETH,,52.0
J/109,8,RED ARROW,,89.0
J/109,9,J-DREAM,,91.0
J/109,10,JAMBO!,,80.0
J/109,11,JEEZ-LOUISE,,115.5
J/109,12,JUST SO,,102.5
J/109,13,JURA,,100.0
J/109,14,NEWTONS WONDER,,110.0
J/109,15,AUDAJIOUS,,123.0
J/109,16,STALKER,,124.0
J/109,17,FIRESTORM,,139.0
J/109,18,JET,,140.0
J/109,19,JANGADA TOO,,152.0
J/109,20,JUMPING JELLYFISH,,140.5
J/109,21,JO JO GUNNE,,154.0
J/109,22,JOYRIDE,,157.0
J/109,23,JUMUNU,,158.0
J/109,24,STANLEY'S BANJO,,160.0
J/109,25,HIGH TENSION,,169.0
J/109,26,MOJITO,,160.0
J/109,27,CLYDESDALE 3,,185.0
J/109,28,JUST WILLIAM,,186.5
J/109,29,YEOMAN OF WIGHT,,192.5
J/109,30,J2EAU,,196.5
J/109,31,JEBOCH,,200.0
J/109,32,BNP PARIBAS 1,,212.0
J/109,33,DESIGNSTAR 2,,216.0
J/109,34,JEROBOAM,,218.0
J/109,35,CLYDESDALE I,,225.0
J/109,36,JOUSTER,,229.0
J/109,37,ALICE,,237.0
J/109,38,CLYDESDALE 2,,238.0
J/109,39,BNP PARIBAS 2,,246.0
J/80,1,SAVAGE SAILING TEAM,,54.0
J/80,2,AGAINSTMALARIA.COM,,16.0
J/80,3,ROSE & THISTLE,,54.0
J/80,4,J'IRONISE,,53.0
J/80,5,JEVAN,,78.0
J/80,6,UKSA 1,,49.0
J/80,7,JUGULAR VAIN,,71.0
J/80,8,JIN PALACE,,78.0
J/80,9,STRUMPET,,82.0
J/80,10,J CARAMBA,,84.0
J/80,11,BJORNSLIPPY,,100.0
J/80,12,JUNO,,96.0
J/80,13,UKSA 2,,114.0
J/80,14,WILD WALLY,,112.0
J/80,15,JANE,,119.0
J/80,16,JIROLAMO,,111.0
J/80,17,JUST RAVAGE,,128.0
J/80,18,JUST SMYLE,,138.0
J/80,19,REDSHIFT,,143.0
J/80,20,BLUES IN J,,155.0
J/80,21,JIMBOB,,163.0
J/80,22,MONOMANIA,,167.0
J/80,23,JOE BLACK,,192.0
Laser SB3,1,TEAM PINDAR,,48.0
Laser SB3,2,3 SAD OLD BLOKES,,51.0
Laser SB3,3,TEAM EARL'S COURT,,54.0
Laser SB3,4,CHILLI CHASER,,78.0
Laser SB3,5,VITA SPERICOLATA,,133.0
Laser SB3,6,BALOO,,74.0
Laser SB3,7,DARLING ASSOCIATES,,73.0
Laser SB3,8,CITY OF CAPE TOWN,,76.0
Laser SB3,9,3467,,88.0
Laser SB3,10,TRUESTONE,,103.0
Laser SB3,11,D3,,94.0
Laser SB3,12,SO!,,124.0
Laser SB3,13,RACING SNAKE,,123.0
Laser SB3,14,EDIGITALRESEARCH,,102.0
Laser SB3,15,EPITOMY.COM,,137.0
Laser SB3,16,PELICAN CONSULTING,,189.0
Laser SB3,17,RUMBLEFLURG,,195.0
Laser SB3,18,OUTKRI,,147.0
Laser SB3,19,DOOLALLI,,170.0
Laser SB3,20,GREY GOOSE,,172.0
Laser SB3,21,FINITOR 7,,219.0
Laser SB3,22,PLATINUM BLONDE,,224.0
Laser SB3,23,EAU NO!,,192.0
Laser SB3,24,LUCKY LADY,,230.0
Laser SB3,25,I MAXIMUS,,194.0
Laser SB3,26,HELLY HANSEN,,246.0
Laser SB3,27,IMPACT PROMOTIONS,,247.0
Laser SB3,28,LIFTINGSAFETY.CO.UK,,213.0
Laser SB3,29,E-QUALE,,228.5
Laser SB3,30,ERIC,,220.0
Laser SB3,31,BUCEPHALUS,,221.0
Laser SB3,32,HOT PANTS,,268.0
Laser SB3,33,THE RAT PACK,,255.0
Laser SB3,34,BATHSTORE,,275.0
Laser SB3,35,GWLADYS,,277.0
Laser SB3,36,TEAM VW TOUAREG,,280.0
Laser SB3,37,FLIPPET,,257.0
Laser SB3,38,BISH BASH BOSH,,272.0
Laser SB3,39,RETAIL THERAPY,,273.5
Laser SB3,40,LASERPERFORMANCE,,304.0
Laser SB3,41,STRIPTEASE,,286.0
Laser SB3,42,PRESSURE COOKER,,270.0
Laser SB3,43,NED 3447,,280.5
Laser SB3,44,HULLABALOO,,302.0
Laser SB3,45,SKALLYWAG,,307.4
Laser SB3,46,STARVER,,315.0
