Region,Year,Venue,HostEvent,ChampionshipFleet,IRCAtVenue,AllBoatsAtVenue,VenueStable,Basis
Channel Islands,2025,Jersey,Jersey Regatta,,,,yes,"results were on HalSail, but HalSail purges old series from the live site and Jersey's own site only ever linked the live URL. The Wayback Machine captured the results INDEX for 2021-24 (event 3485/4673/4985, naming the classes) but never the results tables, and the live series ids now return an empty page. Recoverable only from the Royal Channel Islands YC or HalSail"
Channel Islands,2026,Jersey,Jersey Regatta,8,8,59,yes,"HalSail event 5511. The NoR awards the title to ""Classes 1, 2 & Q"": classes 0+1 carry 4 (X332, Melges 24, J/109, A35) and class 2/Q another 4 (Farr 727s). The other 51 are RYA YTC, a Jersey Dayboat Handicap, Hobie catamarans and Portsmouth Yardstick dinghies"
East Coast,2022,Ramsgate,Ramsgate Week,13,13,,mostly,archive.halsail.com dsKey 3089; IRC Overall series
East Coast,2023,Ramsgate,Ramsgate Week,13,13,,mostly,archive.halsail.com dsKey 3172; Round the Goodwins IRC Overall
East Coast,2024,West Mersea,Mersea Week,,,,mostly,the championship moved to Mersea Week this one year; results not captured
East Coast,2025,Ramsgate,Ramsgate Week,12,12,,mostly,archive.halsail.com dsKey 3371; IRC Ramsgate Week Overall
East Coast,2026,Ramsgate,Ramsgate Week,14,14,34,mostly,HalSail IRC Overall series 92677. The 34-boat entry list is NOT the IRC fleet - Ramsgate runs IRC classes 1-2 alongside YTC classes 4-8 and a Class 7 local handicap
South West,2022,Plymouth,Plymouth Yacht Regatta,,,,NO,site unreachable at time of research
South West,2023,Falmouth,Falmouth Sailing Week,,,,NO,results not found on the event site
South West,2024,Plymouth,Royal Western Yacht Club,12,12,,NO,"archive.halsail.com dsKey 3293, class ""IRC SW Champs"". A standalone championship class"
South West,2025,Dartmouth,Dartmouth Regatta Sailing Week,51,51,,NO,"HalSail; the championship was embedded in Dartmouth Regatta Week, so this is that regatta's whole IRC fleet"
South West,2026,Torbay,Royal Torbay Regatta,4,4,15,NO,"Sailwave; the page states ""Entries: 4"" for the IRC YACHT fleet plus 11 RYA YTC cruisers"
Northern Ireland,2022,,,,,,new,championship did not exist - first listed by RORC in 2025
Northern Ireland,2023,,,,,,new,championship did not exist - first listed by RORC in 2025
Northern Ireland,2024,,,,,,new,championship did not exist - first listed by RORC in 2025
Northern Ireland,2025,Bangor,Royal Ulster Yacht Club,22,22,42,NO,Sailwave; IRC 1 9 / IRC 2 7 / Coastal-IRC 6 plus 20 in the matching YTC classes
Northern Ireland,2026,Carrickfergus,Carrickfergus Sailing Club,14,14,30,NO,"Sailwave; IRC 1 Class 8 / IRC 2 Class 6 plus YTC 16. Down from 22 at Bangor the year before, after the championship moved venue"
North West,2022,,,,,,new,championship did not exist - new for 2026
North West,2023,,,,,,new,championship did not exist - new for 2026
North West,2024,,,,,,new,championship did not exist - new for 2026
North West,2025,,,,,,new,championship did not exist - new for 2026
North West,2026,Liverpool,Liverpool Yacht Club,11,11,15,new,"Sailwave, racing.lyc.org.uk; IRC1 6 / IRC2 5 plus YTC 4. First edition of the championship"
Southern,2022,Poole,International Paint Poole Regatta,19,19,44,NO,"Sailwave; the championship WAS the regatta's IRC fleet that year - IRC Southern Area Championship Class 1 (10) and Class 2 (9). Comparable with 2026's 58, not with 2026's 6"
Southern,2023,Weymouth,Weymouth Sailing Club,,,,NO,moved to Weymouth Sailing Club this year. WSC scores on HalSail (club 64); the 2023 dataset is archived and needs its dsKey to reach
Southern,2024,,,,,,NO,not listed as a Southern Championship - Poole hosted the IRC NATIONAL Championship instead (48 IRC boats)
Southern,2025,,,,,,NO,no Southern Championship listed by RORC this year
Southern,2026,Poole,International Paint Poole Regatta,6,58,85,NO,"the Southern Championship ran as its own scored 6-boat class (Astronomix, Stan the Boat, Esprit 3, Spectrum, Nyala, Jezebel) on Start 2, ALONGSIDE the IRC European Championship at the same regatta. 6 is the championship; 58 is every IRC boat at Poole that week. Boats that might have contested the Southern title entered the Europeans instead, so 6 understates the region and 58 overstates the championship - report both or neither"
National,2024,Poole,International Paint Poole Regatta,48,48,75,NO,Sailwave; classes 0-4 at 3/9/17/7/12
National,2025,Cowes,RTYC 250th Anniversary Regatta,,,,NO,held in the Solent - covered by the main Marketshare database rather than this file
National,2026,Dartmouth,Dartmouth Regatta Sailing Week,61,61,,NO,"HalSail live event 5337; IRC0 9 / IRC1 12 / IRC2 12 / IRC3 13 / IRC4 15. Matches the published ""61 boats racing under IRC"""
Dartmouth regatta,2022,Dartmouth,Dartmouth Regatta Sailing Week,43,43,,n/a,"the regatta itself, whichever championship it carried. HalSail class results"
Dartmouth regatta,2023,Dartmouth,Dartmouth Regatta Sailing Week,61,61,,n/a,HalSail class results
Dartmouth regatta,2024,Dartmouth,Dartmouth Regatta Sailing Week,62,62,,n/a,HalSail class results
Dartmouth regatta,2025,Dartmouth,Dartmouth Regatta Sailing Week,51,51,,n/a,HalSail class results; hosted the IRC South West Championship
Dartmouth regatta,2026,Dartmouth,Dartmouth Regatta Sailing Week,61,61,,n/a,HalSail live event 5337; hosted the IRC National Championship
