166,X166,,name:SWALLOW||XOD
173,X173,,name:TONIC||XOD
171,X171,,name:XACTLY||XOD
50,X50,,name:XCITATION||XOD
GBR411,GBR411L,,name:MAKO||FAREAST 28R
GBR50,GBP50,,name:VENDETTA||FAREAST 28R
GBR8529,GBR8529C,,sailno:GBR8529||J/109
GBR590K,GBR590,,name:COLEMERE||CONTESSA 32
GBR6212L,6212L,,name:CURVED AIR||NAJAD 380
FRA43743,FR43743,,name:JAASAP||JPK
FGBR707,GBR707,,name:MADELAINE||NORDIC FOLKBOAT
GBR1667R,1667R,,name:MARMITE||LIMBO
GBR6020L,6020L,,name:MAGIC||JPK
GBR9668R,K8339,,name:MONET||SIGMA 38
GBR114,GBR114-FE28R,,name:SEA DRAGON||FAREAST 28 R
USA60006,60006,,name:VENOMOUS||CARROLL MARINE 60
USA60006,GBR7017R,VENOMOUS,"Collision, not a duplicate. GBR7017R is BLACK PEARL, Tortuga Marine's Botin 56, 2021-2025. One 2026 Round the Island entry printed GBR7017R against VENOMOUS (Carroll Marine 60, owner Graeme) and overwrote the record's name and type. Move only the VENOMOUS entry; BLACK PEARL keeps its own. name:VENOMOUS||CARROLL MARINE 60"
GBR1521R,1521R,,From Duplicates page: name:ROCK LOBSTER||J/121
GBR1445R,CAN1445,,From Duplicates page: name:SPITFIRE||FARR 45
GBR8419,GER8419,,From Duplicates page: name:X-DAY||GP42
GBR5940,GBR5940R,,From Duplicates page: sailno:GBR5940||KING 40
GBR1725R,GBR1725,,From Duplicates page: sailno:GBR1725||ELAN 40
GBR4601,GBR4601L,,From Duplicates page: sailno:GBR4601||KER 46
GBR1174L,1174L,,From Duplicates page: name:TAIKA||J/105
GBR9781R,GBR9781,,From Duplicates page: name:SHADES OF BLUE||J/110
GBR419R,GBR419,REDSHIFT RELOADED,From Duplicates page: name:REDSHIFT RELOADED||SUN FAST 3600
GBR528R,GBR11N,PACE,From Duplicates page: name:PACE||TP 52
IRL19109,GBR9931T,,From Duplicates page: name:OUTRAJEOUS||J/109
GBR9033R,GBR9033,,From Duplicates page: name:NO RETREAT!||CORBY 33
GBR8732R,GBR8732,,From Duplicates page: name:MISTRAL||SUN FAST 32I
GBR728,728,,From Duplicates page: name:MERGANSER||NORDIC FOLKBOAT
GBR86R,GBR86,,From Duplicates page: name:MAVERICK 5||SWAN 42 CLUB
GBR318X,GBR3412R,KHUMBU,From Duplicates page: name:KHUMBU||CAPE 31
GBR112N,GBR4384L,,From Duplicates page: name:J'OUVERT||J/112E
BER11,7811R,FREQUENT FLYER,From Duplicates page: name:FREQUENT FLYER||J/111
9,K9,DYNAMITE,From Duplicates page: name:DYNAMITE||-
GBR4080T,4080T,,From Duplicates page: name:CRAKAJAX||X-95
FRA5851,GBR851R,,From Duplicates page: name:CRACKLIN' ROSIE||CORBY 40
GBR33849,33849,,From Duplicates page: name:COLLEEN||J/30
GBR724R,GBR763,BERTIE,From Duplicates page: name:BERTIE||-
GBR1513L,GBR1513,,From Duplicates page: name:ANTILOPE||GRAND SOLEIL 43
GBR7236R,SWE72,,From Duplicates page: name:RAN||MINI MAXI
